
                                      ARENA Simulation Results
                                   Windows User - License: STUDENT

                                  Summary for Replication 1 of 5

Project: Unnamed Project                                             Run execution date :12/ 1/2025
Analyst: Eunseo                                                      Model revision date:12/ 1/2025

Replication ended at time      : 10080.0 Minutes (Monday, August 11, 2025, 17:40:02)
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Hole_Driller2.NumberBusy                    .09921     (Insuf)    .00000     1.0000     .00000    
Hole_Driller2.NumberScheduled               .33333     (Insuf)    .00000     1.0000     .00000    
Hole_Driller2.Utilization                   .09921     (Insuf)    .00000     1.0000     .00000    
Final_Inspector1.NumberBusy                 .17411     (Insuf)    .00000     1.0000     .00000    
Final_Inspector1.NumberScheduled            .33333     (Insuf)    .00000     1.0000     .00000    
Final_Inspector1.Utilization                .17411     (Insuf)    .00000     1.0000     .00000    
Finishing_Machine2_2.NumberBusy             .10117     (Insuf)    .00000     1.0000     .00000    
Finishing_Machine2_2.NumberScheduled        .33333     (Insuf)    .00000     1.0000     .00000    
Finishing_Machine2_2.Utilization            .10117     (Insuf)    .00000     1.0000     .00000    
Finishing_Machine2_1.NumberBusy             .14035     (Insuf)    .00000     1.0000     .00000    
Finishing_Machine2_1.NumberScheduled        .33333     (Insuf)    .00000     1.0000     .00000    
Finishing_Machine2_1.Utilization            .14035     (Insuf)    .00000     1.0000     .00000    
Finishing_Machine1_2.NumberBusy             .10620     (Insuf)    .00000     1.0000     .00000    
Finishing_Machine1_2.NumberScheduled        .33333     (Insuf)    .00000     1.0000     .00000    
Finishing_Machine1_2.Utilization            .10620     (Insuf)    .00000     1.0000     .00000    
Finishing_Machine1_1.NumberBusy             .13977     (Insuf)    .00000     1.0000     .00000    
Finishing_Machine1_1.NumberScheduled        .33333     (Insuf)    .00000     1.0000     .00000    
Finishing_Machine1_1.Utilization            .13977     (Insuf)    .00000     1.0000     .00000    
Tapper1.NumberBusy                          .12599     (Insuf)    .00000     1.0000     .00000    
Tapper1.NumberScheduled                     .33333     (Insuf)    .00000     1.0000     .00000    
Tapper1.Utilization                         .12599     (Insuf)    .00000     1.0000     .00000    
HousingCover_Assembler3.NumberBusy          .22024     (Insuf)    .00000     1.0000     .00000    
HousingCover_Assembler3.NumberScheduled     .33333     (Insuf)    .00000     1.0000     .00000    
HousingCover_Assembler3.Utilization         .22024     (Insuf)    .00000     1.0000     .00000    
HousingCover_Assembler2.NumberBusy          .26786     (Insuf)    .00000     1.0000     .00000    
HousingCover_Assembler2.NumberScheduled     .33333     (Insuf)    .00000     1.0000     .00000    
HousingCover_Assembler2.Utilization         .26786     (Insuf)    .00000     1.0000     .00000    
HousingCover_Assembler1.NumberBusy          .26786     (Insuf)    .00000     1.0000     .00000    
HousingCover_Assembler1.NumberScheduled     .33333     (Insuf)    .00000     1.0000     .00000    
HousingCover_Assembler1.Utilization         .26786     (Insuf)    .00000     1.0000     .00000    
Packaging_Machine2.NumberBusy               .16319     (Insuf)    .00000     1.0000     .00000    
Packaging_Machine2.NumberScheduled          .33333     (Insuf)    .00000     1.0000     .00000    
Packaging_Machine2.Utilization              .16319     (Insuf)    .00000     1.0000     .00000    
Packaging_Machine1.NumberBusy               .20833     (Insuf)    .00000     1.0000     .00000    
Packaging_Machine1.NumberScheduled          .33333     (Insuf)    .00000     1.0000     .00000    
Packaging_Machine1.Utilization              .20833     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine3.NumberBusy                .03433     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine3.NumberScheduled           .33333     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine3.Utilization               .03433     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine2.NumberBusy                .09059     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine2.NumberScheduled           .33333     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine2.Utilization               .09059     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine1.NumberBusy                .10610     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine1.NumberScheduled           .33333     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine1.Utilization               .10610     (Insuf)    .00000     1.0000     .00000    
Process_Inspector3.NumberBusy               .09860     (Insuf)    .00000     1.0000     .00000    
Process_Inspector3.NumberScheduled          .33333     (Insuf)    .00000     1.0000     .00000    
Process_Inspector3.Utilization              .09860     (Insuf)    .00000     1.0000     .00000    
Process_Inspector2.NumberBusy               .11972     (Insuf)    .00000     1.0000     .00000    
